Team Name	Perfect Game Team URL
14u sc braves meade	https://www.perfectgame.org/PGBA/Team/default.aspx?orgid=4023&orgteamid=266642&team=1033853&Year=2026
5 star mafia 14u black	https://www.perfectgame.org/PGBA/Team/default.aspx?orgid=2624&orgteamid=266969&team=1077972&Year=2026
5 star midsouth 2030 black	https://www.perfectgame.org/PGBA/Team/default.aspx?orgid=85143&orgteamid=261277&team=1017196&Year=2026
6-4-3 dp 14u jags	https://www.perfectgame.org/PGBA/Team/default.aspx?orgid=20444&orgteamid=259437&Year=2026
baseball portal - trw	https://www.perfectgame.org/PGBA/Team/default.aspx?orgid=47410&orgteamid=267993&team=1032813&Year=2026
bc athletics 14u	https://www.perfectgame.org/PGBA/Team/default.aspx?orgid=17235&orgteamid=262251&team=1047089&Year=2026
beehive scout	https://www.perfectgame.org/PGBA/Team/default.aspx?orgid=18478&orgteamid=264254&team=1028434&Year=2026
birmingham	https://www.perfectgame.org/PGBA/Team/default.aspx?orgid=27855&orgteamid=258109&team=1007542&Year=2026
birmingham stars	https://www.perfectgame.org/PGBA/Team/default.aspx?orgid=27855&orgteamid=258109&team=1007542&Year=2026
birmingham warriors	https://www.perfectgame.org/PGBA/Team/default.aspx?orgid=80783&orgteamid=272724&team=1127437&Year=2026
bpa mississippi 2030	https://www.perfectgame.org/PGBA/Team/default.aspx?orgid=83079&orgteamid=258364&team=1068052&Year=2026
excel blue wave american 14u	https://www.perfectgame.org/PGBA/Team/default.aspx?orgid=1538&orgteamid=258341&Year=2026
excel blue wave national	https://www.perfectgame.org/PGBA/Team/default.aspx?orgid=1538&orgteamid=274060&team=1014572&Year=2026
excel blue wave national 14u	https://www.perfectgame.org/PGBA/Team/default.aspx?orgid=1538&orgteamid=274060&Year=2026
fs bulldogs 2030 (black)	https://www.perfectgame.org/PGBA/Team/default.aspx?orgid=51116&orgteamid=263796&team=1046906&Year=2026
gulf coast edge	https://www.perfectgame.org/PGBA/Team/default.aspx?orgid=34404&orgteamid=267854&team=1033433&Year=2026
hardknox 14u collins	https://www.perfectgame.org/PGBA/Team/default.aspx?orgid=85378&orgteamid=263242&team=1056420&Year=2026
hawaii elite 2g national 14u	https://www.perfectgame.org/PGBA/Team/default.aspx?orgid=33791&orgteamid=281030&team=1054973&Year=2026
knights baseball 14u national	https://www.perfectgame.org/PGBA/Team/default.aspx?orgid=2698&orgteamid=258627&team=1016497&Year=2026
mafia 14u black	https://www.perfectgame.org/PGBA/Team/default.aspx?orgid=22402&orgteamid=272734&team=1009154&Year=2026
ntx mohawks	https://www.perfectgame.org/PGBA/Team/default.aspx?orgid=49029&orgteamid=267107&Year=2026
performance baseball 14u black	https://www.perfectgame.org/PGBA/Team/default.aspx?orgid=87289&orgteamid=283273&team=1104342&Year=2026
pg team	https://www.perfectgame.org/PGBA/Team/default.aspx?orgid=49029&orgteamid=0&Year=2026
power baseball gulf south - scout	https://www.perfectgame.org/PGBA/Team/default.aspx?orgid=32108&orgteamid=255642&team=1035696&year=2026
rawlings tigers 14u scout	https://www.perfectgame.org/PGBA/Team/default.aspx?orgid=3546&orgteamid=264379&team=1007311&Year=2026
spy-wolfpack 14u s.egelston	https://www.perfectgame.org/PGBA/Team/default.aspx?orgid=71693&orgteamid=267550&team=1118688&year=2026
stl legacy 14u - kranawetter	https://www.perfectgame.org/PGBA/Team/default.aspx?orgid=54328&orgteamid=267746&team=1031271&Year=2026
team elite scout 14u	https://www.perfectgame.org/PGBA/Team/default.aspx?orgid=16922&orgteamid=265259&team=1075956&Year=2026
tennesse yard 14u	https://www.perfectgame.org/PGBA/Team/default.aspx?orgid=10248&orgteamid=255417&Year=2026
the	https://www.perfectgame.org/PGBA/Team/default.aspx?orgid=34541&orgteamid=259925&team=1019515&Year=2026
the dream 14u white	https://www.perfectgame.org/PGBA/Team/default.aspx?orgid=34541&orgteamid=259925&team=1019515&Year=2026
tpl 14u national	https://www.perfectgame.org/PGBA/Team/default.aspx?orgid=13018&orgteamid=274610&team=1122811&Year=2026
usa prime 14u	https://www.perfectgame.org/PGBA/Team/default.aspx?orgid=19967&orgteamid=263882&team=1046968&Year=2026
usa prime 14u national	https://www.perfectgame.org/PGBA/Team/default.aspx?orgid=19967&orgteamid=263882&team=1046968&Year=2026
usa prime se adidas scout 14u	https://www.perfectgame.org/PGBA/Team/default.aspx?orgid=76967&orgteamid=263639&team=998536&Year=2026
usa prime se bhm 16u red	https://www.perfectgame.org/PGBA/Team/default.aspx?orgid=76967&orgteamid=286907&Year=2026
usa scout team nike u.s. 14u	https://www.perfectgame.org/PGBA/Team/default.aspx?orgid=19910&orgteamid=260869&team=1036500&Year=2026
vba	https://www.perfectgame.org/PGBA/Team/default.aspx?orgid=900&orgteamid=273342&team=1010659&Year=2026
vba 14u national	https://www.perfectgame.org/PGBA/Team/default.aspx?orgid=900&orgteamid=273342&team=1010659&Year=2026
vba american 16u	https://www.perfectgame.org/PGBA/Team/default.aspx?orgid=900&orgteamid=271973&Year=2026
vba national 14u	https://www.perfectgame.org/PGBA/Team/default.aspx?orgid=900&orgteamid=273342&team=1010660&year=2026
vestavia baseball club	https://www.perfectgame.org/PGBA/Team/default.aspx?orgid=85485&orgteamid=264156&Year=2026
